timestamp,kwh,building
2025-11-01 00:00:00,1.496,Hostel
2025-11-01 00:00:00,0.911,Library
2025-11-01 01:00:00,1.561,Library
2025-11-01 01:00:00,1.094,Hostel
2025-11-01 02:00:00,2.549,Hostel
2025-11-01 02:00:00,2.221,Library
2025-11-01 03:00:00,1.928,Hostel
2025-11-01 03:00:00,2.059,Library
2025-11-01 04:00:00,1.855,Hostel
2025-11-01 04:00:00,1.297,Library
2025-11-01 05:00:00,2.108,Library
2025-11-01 05:00:00,3.759,Hostel
2025-11-01 06:00:00,1.267,Library
2025-11-01 06:00:00,2.61,Hostel
2025-11-01 07:00:00,2.109,Library
2025-11-01 07:00:00,3.48,Hostel
2025-11-01 08:00:00,1.153,Library
2025-11-01 08:00:00,1.161,Hostel
2025-11-01 09:00:00,1.536,Library
2025-11-01 09:00:00,2.743,Hostel
2025-11-01 10:00:00,2.017,Library
2025-11-01 10:00:00,1.592,Hostel
2025-11-01 11:00:00,1.457,Library
2025-11-01 11:00:00,1.213,Hostel
2025-11-01 12:00:00,1.946,Hostel
2025-11-01 12:00:00,0.625,Library
2025-11-01 13:00:00,3.998,Hostel
2025-11-01 13:00:00,1.438,Library
2025-11-01 14:00:00,2.176,Library
2025-11-01 14:00:00,1.838,Hostel
2025-11-01 15:00:00,0.938,Library
2025-11-01 15:00:00,1.43,Hostel
2025-11-01 16:00:00,1.118,Hostel
2025-11-01 16:00:00,1.193,Library
2025-11-01 17:00:00,1.225,Hostel
2025-11-01 17:00:00,2.279,Library
2025-11-01 18:00:00,1.304,Hostel
2025-11-01 18:00:00,2.497,Library
2025-11-01 19:00:00,1.983,Hostel
2025-11-01 19:00:00,1.863,Library
2025-11-01 20:00:00,0.525,Library
2025-11-01 20:00:00,1.118,Hostel
2025-11-01 21:00:00,2.309,Library
2025-11-01 21:00:00,3.047,Hostel
2025-11-01 22:00:00,2.887,Hostel
2025-11-01 22:00:00,2.038,Library
2025-11-01 23:00:00,1.565,Library
2025-11-01 23:00:00,3.032,Hostel
2025-11-02 00:00:00,1.299,Library
2025-11-02 00:00:00,2.229,Hostel
2025-11-02 01:00:00,3.509,Hostel
2025-11-02 01:00:00,0.654,Library
2025-11-02 02:00:00,1.798,Hostel
2025-11-02 02:00:00,2.059,Library
2025-11-02 03:00:00,0.618,Library
2025-11-02 03:00:00,3.608,Hostel
2025-11-02 04:00:00,2.041,Hostel
2025-11-02 04:00:00,0.936,Library
2025-11-02 05:00:00,1.593,Library
2025-11-02 05:00:00,2.642,Hostel
2025-11-02 06:00:00,1.965,Library
2025-11-02 06:00:00,2.946,Hostel
2025-11-02 07:00:00,1.137,Library
2025-11-02 07:00:00,3.814,Hostel
2025-11-02 08:00:00,2.423,Library
2025-11-02 08:00:00,3.551,Hostel
2025-11-02 09:00:00,3.314,Hostel
2025-11-02 09:00:00,0.653,Library
2025-11-02 10:00:00,1.837,Library
2025-11-02 10:00:00,1.341,Hostel
2025-11-02 11:00:00,1.829,Hostel
2025-11-02 11:00:00,0.61,Library
2025-11-02 12:00:00,1.726,Library
2025-11-02 12:00:00,3.357,Hostel
2025-11-02 13:00:00,1.033,Library
2025-11-02 13:00:00,3.382,Hostel
2025-11-02 14:00:00,3.058,Hostel
2025-11-02 14:00:00,2.281,Library
2025-11-02 15:00:00,0.695,Library
2025-11-02 15:00:00,1.151,Hostel
2025-11-02 16:00:00,1.429,Hostel
2025-11-02 16:00:00,1.415,Library
2025-11-02 17:00:00,2.24,Library
2025-11-02 17:00:00,1.932,Hostel
2025-11-02 18:00:00,0.802,Library
2025-11-02 18:00:00,2.932,Hostel
2025-11-02 19:00:00,3.789,Hostel
2025-11-02 19:00:00,1.827,Library
2025-11-02 20:00:00,0.862,Library
2025-11-02 20:00:00,2.824,Hostel
2025-11-02 21:00:00,2.206,Hostel
2025-11-02 21:00:00,1.853,Library
2025-11-02 22:00:00,2.765,Hostel
2025-11-02 22:00:00,0.929,Library
2025-11-02 23:00:00,0.996,Library
2025-11-02 23:00:00,3.021,Hostel
2025-11-03 00:00:00,1.7,Library
2025-11-03 00:00:00,2.635,Hostel
2025-11-03 01:00:00,3.261,Hostel
2025-11-03 01:00:00,1.525,Library
2025-11-03 02:00:00,0.557,Library
2025-11-03 02:00:00,1.956,Hostel
2025-11-03 03:00:00,1.723,Hostel
2025-11-03 03:00:00,0.721,Library
2025-11-03 04:00:00,2.072,Hostel
2025-11-03 04:00:00,1.275,Library
2025-11-03 05:00:00,1.124,Hostel
2025-11-03 05:00:00,1.984,Library
2025-11-03 06:00:00,2.583,Hostel
2025-11-03 06:00:00,1.687,Library
2025-11-03 07:00:00,2.358,Library
2025-11-03 07:00:00,3.226,Hostel
2025-11-03 08:00:00,1.121,Library
2025-11-03 08:00:00,1.05,Hostel
2025-11-03 09:00:00,1.384,Library
2025-11-03 09:00:00,3.947,Hostel
2025-11-03 10:00:00,1.667,Library
2025-11-03 10:00:00,3.561,Hostel
2025-11-03 11:00:00,1.571,Hostel
2025-11-03 11:00:00,0.843,Library
2025-11-03 12:00:00,2.354,Hostel
2025-11-03 12:00:00,2.238,Library
2025-11-03 13:00:00,0.734,Library
2025-11-03 13:00:00,2.346,Hostel
2025-11-03 14:00:00,0.813,Library
2025-11-03 14:00:00,1.337,Hostel
2025-11-03 15:00:00,0.932,Library
2025-11-03 15:00:00,2.551,Hostel
2025-11-03 16:00:00,1.153,Library
2025-11-03 16:00:00,3.264,Hostel
2025-11-03 17:00:00,2.813,Hostel
2025-11-03 17:00:00,1.413,Library
2025-11-03 18:00:00,0.925,Library
2025-11-03 18:00:00,3.611,Hostel
2025-11-03 19:00:00,2.44,Hostel
2025-11-03 19:00:00,1.495,Library
2025-11-03 20:00:00,1.764,Hostel
2025-11-03 20:00:00,2.25,Library
2025-11-03 21:00:00,2.199,Hostel
2025-11-03 21:00:00,1.809,Library
2025-11-03 22:00:00,2.915,Hostel
2025-11-03 22:00:00,1.203,Library
2025-11-03 23:00:00,0.928,Library
2025-11-03 23:00:00,3.496,Hostel
2025-11-04 00:00:00,1.309,Library
2025-11-04 00:00:00,2.816,Hostel
2025-11-04 01:00:00,0.697,Library
2025-11-04 01:00:00,2.341,Hostel
2025-11-04 02:00:00,0.51,Library
2025-11-04 02:00:00,2.433,Hostel
2025-11-04 03:00:00,0.945,Library
2025-11-04 03:00:00,2.729,Hostel
2025-11-04 04:00:00,1.442,Hostel
2025-11-04 04:00:00,1.57,Library
2025-11-04 05:00:00,0.519,Library
2025-11-04 05:00:00,2.961,Hostel
2025-11-04 06:00:00,1.759,Hostel
2025-11-04 06:00:00,1.575,Library
2025-11-04 07:00:00,1.5,Library
2025-11-04 07:00:00,2.96,Hostel
2025-11-04 08:00:00,2.448,Library
2025-11-04 08:00:00,3.207,Hostel
2025-11-04 09:00:00,3.907,Hostel
2025-11-04 09:00:00,2.226,Library
2025-11-04 10:00:00,0.715,Library
2025-11-04 10:00:00,1.801,Hostel
2025-11-04 11:00:00,3.276,Hostel
2025-11-04 11:00:00,1.559,Library
2025-11-04 12:00:00,1.005,Library
2025-11-04 12:00:00,3.669,Hostel
2025-11-04 13:00:00,0.918,Library
2025-11-04 13:00:00,1.622,Hostel
2025-11-04 14:00:00,1.969,Hostel
2025-11-04 14:00:00,1.185,Library
2025-11-04 15:00:00,1.872,Library
2025-11-04 15:00:00,2.76,Hostel
2025-11-04 16:00:00,1.776,Library
2025-11-04 16:00:00,1.394,Hostel
2025-11-04 17:00:00,1.538,Library
2025-11-04 17:00:00,3.373,Hostel
2025-11-04 18:00:00,3.901,Hostel
2025-11-04 18:00:00,1.31,Library
2025-11-04 19:00:00,3.53,Hostel
2025-11-04 19:00:00,0.652,Library
2025-11-04 20:00:00,1.492,Hostel
2025-11-04 20:00:00,1.943,Library
2025-11-04 21:00:00,3.975,Hostel
2025-11-04 21:00:00,1.715,Library
2025-11-04 22:00:00,1.214,Hostel
2025-11-04 22:00:00,2.336,Library
2025-11-04 23:00:00,3.356,Hostel
2025-11-04 23:00:00,1.609,Library
2025-11-05 00:00:00,1.788,Hostel
2025-11-05 00:00:00,0.553,Library
2025-11-05 01:00:00,1.103,Hostel
2025-11-05 01:00:00,1.556,Library
2025-11-05 02:00:00,2.42,Hostel
2025-11-05 02:00:00,2.474,Library
2025-11-05 03:00:00,1.064,Hostel
2025-11-05 03:00:00,0.785,Library
2025-11-05 04:00:00,1.808,Library
2025-11-05 04:00:00,2.994,Hostel
2025-11-05 05:00:00,0.822,Library
2025-11-05 05:00:00,3.496,Hostel
2025-11-05 06:00:00,3.477,Hostel
2025-11-05 06:00:00,1.678,Library
2025-11-05 07:00:00,2.331,Hostel
2025-11-05 07:00:00,0.599,Library
2025-11-05 08:00:00,1.724,Library
2025-11-05 08:00:00,3.178,Hostel
2025-11-05 09:00:00,2.343,Library
2025-11-05 09:00:00,1.082,Hostel
2025-11-05 10:00:00,1.303,Hostel
2025-11-05 10:00:00,1.904,Library
2025-11-05 11:00:00,1.89,Hostel
2025-11-05 11:00:00,0.831,Library
2025-11-05 12:00:00,2.079,Hostel
2025-11-05 12:00:00,1.327,Library
2025-11-05 13:00:00,2.269,Library
2025-11-05 13:00:00,2.863,Hostel
2025-11-05 14:00:00,1.105,Library
2025-11-05 14:00:00,3.238,Hostel
2025-11-05 15:00:00,3.123,Hostel
2025-11-05 15:00:00,1.168,Library
2025-11-05 16:00:00,2.068,Library
2025-11-05 16:00:00,2.917,Hostel
2025-11-05 17:00:00,1.282,Hostel
2025-11-05 17:00:00,1.878,Library
2025-11-05 18:00:00,3.865,Hostel
2025-11-05 18:00:00,1.12,Library
2025-11-05 19:00:00,1.638,Hostel
2025-11-05 19:00:00,1.766,Library
2025-11-05 20:00:00,2.334,Hostel
2025-11-05 20:00:00,2.027,Library
2025-11-05 21:00:00,0.682,Library
2025-11-05 21:00:00,3.334,Hostel
2025-11-05 22:00:00,2.433,Library
2025-11-05 22:00:00,1.709,Hostel
2025-11-05 23:00:00,3.21,Hostel
2025-11-05 23:00:00,0.947,Library
2025-11-06 00:00:00,1.07,Library
2025-11-06 00:00:00,3.753,Hostel
2025-11-06 01:00:00,3.037,Hostel
2025-11-06 01:00:00,0.851,Library
2025-11-06 02:00:00,2.1,Hostel
2025-11-06 02:00:00,2.019,Library
2025-11-06 03:00:00,2.301,Hostel
2025-11-06 03:00:00,0.916,Library
2025-11-06 04:00:00,1.459,Library
2025-11-06 04:00:00,2.468,Hostel
2025-11-06 05:00:00,2.457,Library
2025-11-06 05:00:00,2.53,Hostel
2025-11-06 06:00:00,1.957,Library
2025-11-06 06:00:00,1.551,Hostel
2025-11-06 07:00:00,3.627,Hostel
2025-11-06 07:00:00,2.243,Library
2025-11-06 08:00:00,1.273,Hostel
2025-11-06 08:00:00,0.756,Library
2025-11-06 09:00:00,1.288,Library
2025-11-06 09:00:00,1.388,Hostel
2025-11-06 10:00:00,2.392,Hostel
